target,feature_set,model,evaluation_year,pair,n,prevalence,mean_probability,roc_auc,pr_auc_ap,balanced_accuracy,precision,recall,f1,brier
profitable_after_fees,C_price_trend,forest,2022,ETH/USDT,106,0.3490566037735849,0.3484951919762985,0.6094790442616529,0.43874937279991005,0.4917743830787309,0.25,0.02702702702702703,0.04878048780487805,0.21988778426030525
profitable_after_fees,C_price_trend,forest,2023,BTC/USDT,114,0.32456140350877194,0.3022251437614081,0.5387855387855388,0.339249072946608,0.474025974025974,0.0,0.0,0.0,0.22812155699529738
profitable_after_fees,C_price_trend,forest,2023,ETH/USDT,102,0.3431372549019608,0.31137054343334747,0.4904051172707889,0.33500571687017155,0.48507462686567165,0.0,0.0,0.0,0.2383314738031557
profitable_after_fees,C_price_trend,forest,2024,BTC/USDT,105,0.41904761904761906,0.33586150371537987,0.5916542473919523,0.4849973466063867,0.4918032786885246,0.0,0.0,0.0,0.24960656158521125
profitable_after_fees,C_price_trend,forest,2024,ETH/USDT,98,0.29591836734693877,0.34697530980386404,0.6541729135432284,0.42460826580276806,0.5272363818090955,0.6666666666666666,0.06896551724137931,0.125,0.20121210082943847
profitable_after_fees,C_price_trend,hist_gradient,2020,BTC/USDT,107,0.37383177570093457,0.35958993136449596,0.4951492537313432,0.346447629766354,0.40317164179104475,0.14285714285714285,0.075,0.09836065573770492,0.25793552706124256
profitable_after_fees,C_price_trend,hist_gradient,2020,ETH/USDT,101,0.38613861386138615,0.3365657604129734,0.6290322580645162,0.508253021039633,0.5062034739454094,0.42857142857142855,0.07692307692307693,0.13043478260869565,0.2290838507643732
profitable_after_fees,C_price_trend,hist_gradient,2021,BTC/USDT,97,0.3917525773195876,0.37253207663988236,0.5633363068688672,0.4415069732357378,0.4895182872435325,0.35714285714285715,0.13157894736842105,0.19230769230769232,0.23965169778959797
profitable_after_fees,C_price_trend,hist_gradient,2021,ETH/USDT,104,0.3942307692307692,0.39686110750353226,0.5768486256291134,0.48165333206994754,0.5383275261324042,0.5,0.21951219512195122,0.3050847457627119,0.2334781804281012
profitable_after_fees,C_price_trend,hist_gradient,2022,BTC/USDT,104,0.25961538461538464,0.31936681738479733,0.4872534872534872,0.3144978926810842,0.536075036075036,0.5,0.1111111111111111,0.18181818181818182,0.2046465031908045
profitable_after_fees,C_price_trend,hist_gradient,2022,ETH/USDT,106,0.3490566037735849,0.34095244946740777,0.5695260477869173,0.38942670821183734,0.5052878965922445,0.4,0.05405405405405406,0.09523809523809523,0.22677655135298092
profitable_after_fees,C_price_trend,hist_gradient,2023,BTC/USDT,114,0.32456140350877194,0.3086880135123605,0.5354510354510355,0.328699604215432,0.45454545454545453,0.0,0.0,0.0,0.23044445587778695
profitable_after_fees,C_price_trend,hist_gradient,2023,ETH/USDT,102,0.3431372549019608,0.31538950720741576,0.4486140724946695,0.303753696888049,0.47761194029850745,0.0,0.0,0.0,0.24677359070596402
profitable_after_fees,C_price_trend,hist_gradient,2024,BTC/USDT,105,0.41904761904761906,0.34079676070923287,0.5827123695976155,0.49044626442912886,0.48360655737704916,0.0,0.0,0.0,0.2489757557152881
profitable_after_fees,C_price_trend,hist_gradient,2024,ETH/USDT,98,0.29591836734693877,0.34370541808858973,0.6501749125437282,0.4319352538425166,0.5272363818090955,0.6666666666666666,0.06896551724137931,0.125,0.20015791552095696
profitable_after_fees,C_price_trend,logistic,2020,BTC/USDT,107,0.37383177570093457,0.33013459356732905,0.5324626865671642,0.41870664262687324,0.49011194029850746,0.25,0.025,0.045454545454545456,0.2423887969501761
profitable_after_fees,C_price_trend,logistic,2020,ETH/USDT,101,0.38613861386138615,0.3322419409987032,0.6116625310173698,0.5463852565316241,0.5641025641025641,1.0,0.1282051282051282,0.22727272727272727,0.23131246660455243
profitable_after_fees,C_price_trend,logistic,2021,BTC/USDT,97,0.3917525773195876,0.4047066500116215,0.6427297056199821,0.5188726711858628,0.5909901873327387,0.56,0.3684210526315789,0.4444444444444444,0.22798234156439112
profitable_after_fees,C_price_trend,logistic,2021,ETH/USDT,104,0.3942307692307692,0.43051336027430753,0.6000774293457221,0.44815520283069166,0.5638792102206736,0.5,0.36585365853658536,0.4225352112676056,0.24174361537726324
profitable_after_fees,C_price_trend,logistic,2022,BTC/USDT,104,0.25961538461538464,0.3304361623004027,0.4973544973544973,0.2885785501537971,0.5055315055315055,0.3333333333333333,0.037037037037037035,0.06666666666666667,0.20338303985892858
profitable_after_fees,C_price_trend,logistic,2022,ETH/USDT,106,0.3490566037735849,0.3417469407156746,0.6036036036036035,0.41134269377566807,0.5115550332941637,0.42857142857142855,0.08108108108108109,0.13636363636363635,0.2270641082976032
profitable_after_fees,C_price_trend,logistic,2023,BTC/USDT,114,0.32456140350877194,0.3163056387104702,0.48367848367848376,0.31488010762848995,0.487012987012987,0.0,0.0,0.0,0.22657342574782327
