year,strategy,pair,trades,wins,losses,win_rate_pct,net_usdt,total_return_pct,average_trade_pct,profit_factor,expectancy_usdt,average_duration_hours,maximum_consecutive_losses,closed_trade_drawdown_pct,top5_net_usdt,top10_net_usdt,top5_gross_profit_share,top10_gross_profit_share,top5_net_share,top10_net_share
2021,V2CompressionBreakoutHi,ETH/USDT,10,4,6,40.0,7.984787249999998,0.7984787249999998,0.7984292328649546,2.2261842284148248,0.7984787249999998,12.9,3,0.4681371061009315,14.41909242,7.9847872499999974,0.9946475117634059,0.5508008783657319,1.8058204894563725,0.9999999999999999
2021,V2RegimeAdaptiveLo,BTC/USDT,9,4,5,44.44444444444444,-4.590192930000001,-0.45901929300000005,-0.5104187008836197,0.552979066682135,-0.5100214366666668,6.0,3,0.7564408765470996,5.227808959999999,-4.59019293,0.9206783672256617,-0.8083867188680086,,
2021,V2RegimeAdaptiveLo,ETH/USDT,8,4,4,50.0,-3.7920599500000005,-0.3792059950000001,-0.4734200414068665,0.6186422518725686,-0.47400749375000006,7.625,2,0.613278650999996,5.21406011,-3.7920599500000005,0.8476056352393114,-0.6164431009571353,,
2021,V2RegimeAdaptiveHi,BTC/USDT,9,4,5,44.44444444444444,-4.590192930000001,-0.45901929300000005,-0.5104187008836197,0.552979066682135,-0.5100214366666668,6.0,3,0.7564408765470996,5.227808959999999,-4.59019293,0.9206783672256617,-0.8083867188680086,,
2021,V2RegimeAdaptiveHi,ETH/USDT,8,4,4,50.0,-3.7920599500000005,-0.3792059950000001,-0.4734200414068665,0.6186422518725686,-0.47400749375000006,7.625,2,0.613278650999996,5.21406011,-3.7920599500000005,0.8476056352393114,-0.6164431009571353,,
2021,LabBaseline,BTC/USDT,98,38,60,38.775510204081634,-13.724414299999987,-1.3724414299999987,-0.1398930379829738,0.9196296852983625,-0.1400450438775509,28.183673469387756,11,3.6059751220195455,25.01995283,50.01884246,0.15932185493010845,0.31850958378421806,,
2021,LabBaseline,ETH/USDT,105,41,64,39.04761904761905,-34.6452166,-3.46452166,-0.33004895173469867,0.8396000880413848,-0.32995444380952377,20.742857142857144,9,6.946693494240183,25.0216409,50.0323592,0.13797619249162493,0.2758921547702861,,
2021,AlphaBreakout,BTC/USDT,60,28,32,46.666666666666664,34.90308994999999,3.4903089949999986,0.5817979568155889,1.4643885775750252,0.5817181658333331,24.35,6,1.6397868580299073,25.002243899999996,49.96763465,0.2271644184322702,0.45399399794285683,0.716333251176806,1.4316106316541186
2021,AlphaBreakout,ETH/USDT,64,39,25,60.9375,100.16046515,10.016046515,1.5643466251706766,2.5212287379069993,1.56500726796875,21.125,4,1.210952907951009,25.02156076,50.03906842999999,0.15073022093107807,0.30143602599309766,0.24981474199952836,0.49958901803283007
2022,V2TrendPullback,BTC/USDT,18,3,15,16.666666666666664,-12.97451236,-1.2974512360000001,-0.7217609184194752,0.48585725301112304,-0.7208062422222222,21.944444444444446,7,1.9327707593872898,10.915636789999999,4.36197114,0.8902931984186825,0.35576790546917664,,
