strategy,year,pair,trades,wins,losses,win_rate_pct,total_return_pct,net_usdt,average_trade_pct,profit_factor,gross_profit_usdt,gross_loss_usdt,expectancy_usdt,closed_trade_drawdown_pct,sharpe_daily_closed,sortino_daily_closed,average_duration_hours,consecutive_losses,wallet_drawdown_pct,engine_sharpe,engine_sortino,rejected_signals
AlphaMomentumHi,2020,ETH/USDT,28,9,19,32.142857142857146,-1.6732975150000002,-16.73297515,-0.5970587157119611,0.6789115732452188,35.3803175,52.11329265,-0.597606255357143,2.277035492507421,-0.917887549666277,-1.2368597373385206,11.321428571428573,5,,,,
LabBaseline,2021,ALL,203,79,124,38.91625615763547,-4.836963089999998,-48.369630899999976,-0.23824954509593502,0.874935493720171,338.38783001999997,386.75746092,-0.23827404384236442,9.733536906447618,-0.7094840245525224,-0.9978161302559243,24.334975369458128,20,10.109359807899127,-0.6366893826691926,-1.4324847090796977,0.0
LabBaseline,2021,BTC/USDT,98,38,60,38.775510204081634,-1.3724414299999987,-13.724414299999987,-0.1398930379829738,0.9196296852983625,157.04030587000003,170.76472016999998,-0.1400450438775509,3.6059751220195455,-0.3660679631319164,-0.5342495337208515,28.183673469387756,11,,,,
LabBaseline,2021,ETH/USDT,105,41,64,39.04761904761905,-3.46452166,-34.6452166,-0.33004895173469867,0.8396000880413848,181.34752415,215.99274075,-0.32995444380952377,6.946693494240183,-0.813590278966193,-1.134462811369031,20.742857142857144,9,,,,
AlphaTrend,2021,ALL,95,32,63,33.68421052631579,-1.2031730339999995,-12.031730339999996,-0.12656918958742913,0.916403502945792,131.89451973,143.92625006999998,-0.12664979305263152,4.6268025145708345,-0.337130678837308,-0.5231515414348142,15.178947368421053,14,5.115268903089772,-0.1865632452385177,-0.4871642966535321,0.0
AlphaTrend,2021,BTC/USDT,44,13,31,29.545454545454547,-1.5184964160000003,-15.184964160000003,-0.3454053094506668,0.7710617713003929,51.14281450000001,66.32777866,-0.34511282181818187,3.6320280993577314,-0.7235729460149646,-1.0715717616232037,13.75,7,,,,
AlphaTrend,2021,ETH/USDT,51,19,32,37.254901960784316,0.31532338199999976,3.153233819999998,0.06223060009850152,1.040635256889785,80.75170522999998,77.59847141,0.061828114117647014,3.367768665718861,0.12913968002199075,0.21275270379027605,16.411764705882355,11,,,,
AlphaTrendLo,2021,ALL,137,42,95,30.656934306569344,-4.8464306289999985,-48.46430628999999,-0.35419912309150364,0.7816133064251481,173.45537890999998,221.91968519999995,-0.3537540605109488,6.946610724678544,-1.1549824673418456,-1.6756272010037077,15.226277372262775,10,7.059381107899304,-0.7555889437078281,-1.7867148900521288,0.0
AlphaTrendLo,2021,BTC/USDT,67,18,49,26.865671641791046,-4.288816595999999,-42.888165959999995,-0.6413664725228161,0.6122691224659977,67.72506720000001,110.61323316000001,-0.6401218799999999,5.786015911990261,-1.660056905117972,-2.2764179543598466,14.940298507462687,10,,,,
AlphaTrendLo,2021,ETH/USDT,70,24,46,34.285714285714285,-0.557614033,-5.57614033,-0.0793389457786761,0.9499028113123567,105.73031171000001,111.30645204000001,-0.07965914757142857,3.95546011064903,-0.1906607193783565,-0.2966291809485694,15.5,8,,,,
