dataset,year,pair,feature,reference_year,standardized_mean_shift,ks_statistic,reference_n,n
A_portfolio,2020,ETH/USDT,hour_of_day,2019,0.03473726574512277,0.07962489343563513,115,102
A_portfolio,2020,ETH/USDT,day_of_week,2019,-0.07079895824500221,0.07740835464620631,115,102
A_portfolio,2020,ETH/USDT,distance_high_24,2019,0.34101202343961334,0.2644501278772379,115,102
A_portfolio,2020,ETH/USDT,distance_low_24,2019,0.2124412290909284,0.22318840579710145,115,102
A_portfolio,2020,ETH/USDT,distance_high_168,2019,0.12362999965331019,0.21858482523444162,115,102
A_portfolio,2020,ETH/USDT,distance_low_168,2019,0.42652895698451254,0.20264279624893436,115,102
A_portfolio,2020,ETH/USDT,candles_since_prior_signal,2019,0.26366293867905344,0.15029838022165387,115,102
A_portfolio,2020,ETH/USDT,source_synthetic,2019,,0.0,115,102
A_portfolio,2020,ETH/USDT,return_1h,2019,0.2967066004208319,0.17988064791133845,115,102
A_portfolio,2020,ETH/USDT,return_3h,2019,-0.014890297457486656,0.11261722080136402,115,102
A_portfolio,2020,ETH/USDT,return_6h,2019,0.14443902021572216,0.17493606138107418,115,102
A_portfolio,2020,ETH/USDT,return_12h,2019,0.13327002016556,0.1765558397271952,115,102
A_portfolio,2020,ETH/USDT,return_24h,2019,0.1657528159256878,0.17399829497016198,115,102
A_portfolio,2020,ETH/USDT,return_72h,2019,0.018059385277392714,0.07024722932651321,115,102
A_portfolio,2020,ETH/USDT,return_168h,2019,0.3070897141309539,0.1814151747655584,115,102
A_portfolio,2020,ETH/USDT,volatility_ratio_24_168,2019,-0.07032142161378604,0.09053708439897698,115,102
A_portfolio,2020,ETH/USDT,natr_ratio_168,2019,-0.11998192877211818,0.11295822676896845,115,102
A_portfolio,2020,ETH/USDT,up_fraction_24,2019,0.22564208953411036,0.11568627450980393,115,102
A_portfolio,2020,ETH/USDT,volume_price_interaction,2019,0.20779253507968218,0.17860187553282184,115,102
A_portfolio,2020,ETH/USDT,range_expansion_24,2019,-0.04105091604396196,0.14654731457800513,115,102
A_portfolio,2020,ETH/USDT,signal_density_168,2019,-0.09888151340083882,0.059676044330775786,115,102
A_portfolio,2021,BTC/USDT,ema20_distance,2019,0.46181485087846474,0.2972411186696901,108,98
A_portfolio,2021,BTC/USDT,ema50_distance,2019,0.40657113383325655,0.26303854875283444,108,98
A_portfolio,2021,BTC/USDT,ema_gap,2019,0.0694546708240971,0.16534391534391535,108,98
A_portfolio,2021,BTC/USDT,ema20_slope_6,2019,0.7244178600841894,0.36318972033257746,108,98
A_portfolio,2021,BTC/USDT,ema50_slope_6,2019,0.5512596336947434,0.3055555555555556,108,98
A_portfolio,2021,BTC/USDT,trend_efficiency_20,2019,0.09962863236155055,0.07879818594104308,108,98
A_portfolio,2021,BTC/USDT,range_ratio,2019,0.5626167006604474,0.33578987150415723,108,98
A_portfolio,2021,BTC/USDT,body_to_range,2019,0.06546247195839322,0.09693877551020408,108,98
A_portfolio,2021,BTC/USDT,close_location,2019,0.015995444246397313,0.07804232804232804,108,98
A_portfolio,2021,BTC/USDT,natr14,2019,1.0389390125855367,0.4718442932728647,108,98
A_portfolio,2021,BTC/USDT,return_std_24,2019,0.8132343883885211,0.5285336356764928,108,98
A_portfolio,2021,BTC/USDT,return_std_168,2019,0.7618959782866787,0.4304610733182162,108,98
A_portfolio,2021,BTC/USDT,volatility_percentile_720,2019,0.20053212681871654,0.1311413454270597,108,98
A_portfolio,2021,BTC/USDT,rsi14,2019,0.15964138371381167,0.18348450491307633,108,98
A_portfolio,2021,BTC/USDT,macd_ratio,2019,0.6714083892641562,0.34183673469387754,108,98
A_portfolio,2021,BTC/USDT,macd_signal_ratio,2019,0.5419664302524207,0.33163265306122447,108,98
A_portfolio,2021,BTC/USDT,relative_volume_24,2019,-0.08303589190417338,0.12622826908541193,108,98
A_portfolio,2021,BTC/USDT,volume_zscore_24,2019,-0.03844452441354627,0.0854119425547997,108,98
A_portfolio,2021,BTC/USDT,volume_trend_24_168,2019,0.047935049800972976,0.13038548752834467,108,98
A_portfolio,2021,BTC/USDT,regime_duration,2019,0.4340009694209787,0.12037037037037036,108,98
A_portfolio,2021,BTC/USDT,regime_transition,2019,-0.16479326401126906,0.0572562358276644,108,98
A_portfolio,2021,BTC/USDT,hour_of_day,2019,0.25887075092051226,0.14134542705971279,108,98
A_portfolio,2021,BTC/USDT,day_of_week,2019,-0.2124995163282019,0.12528344671201813,108,98
A_portfolio,2021,BTC/USDT,distance_high_24,2019,-0.39523986887176893,0.1980347694633409,108,98
