feature,count,mean,std,min,5%,25%,50%,75%,95%,max,dataset,year,pair
distance_high_168,108.0,-0.054695010702294315,0.06939441424675123,-0.4155888114932521,-0.1485288468610671,-0.06512758925352236,-0.03119760932312754,-0.01836805200900052,-0.006904648499531863,-0.0016913511558095395,B_opportunities,2020,BTC/USDT
distance_low_168,108.0,0.09894105733753807,0.08849093949238919,0.00975722262685097,0.018594479382107443,0.040544849755864865,0.07082729282452782,0.13195118682345874,0.2955290170627931,0.4210273047198272,B_opportunities,2020,BTC/USDT
candles_since_prior_signal,108.0,81.76851851851852,50.72697792470476,3.0,11.350000000000001,51.0,75.0,99.0,177.59999999999997,270.0,B_opportunities,2020,BTC/USDT
source_synthetic,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B_opportunities,2020,BTC/USDT
return_1h,108.0,0.001525570730549932,0.005260434697012478,-0.011648546494520184,-0.0055830463132218065,-0.001456366014554178,0.0005428432367149405,0.003855971973244998,0.013182302582468951,0.019568319226118458,B_opportunities,2020,BTC/USDT
return_3h,108.0,0.0046991850317671,0.00987868428579672,-0.030414901271084704,-0.007797303819455713,-0.0004921062838529611,0.0030091949062729384,0.008899091213883659,0.02351139601867403,0.038822332173587215,B_opportunities,2020,BTC/USDT
return_6h,108.0,0.006098704545849688,0.012314233579685004,-0.03578594892309839,-0.009513785641325045,-0.0011942168015707244,0.004980794335900485,0.01130052487173494,0.027764272216803946,0.04521029063131099,B_opportunities,2020,BTC/USDT
return_12h,108.0,0.012025491267142556,0.019378854129583,-0.0322483554113725,-0.00912439229711442,0.0007311111131514947,0.008914622409467277,0.02087259888524623,0.047057521047261464,0.09941963288326305,B_opportunities,2020,BTC/USDT
return_24h,108.0,0.016741319293663563,0.019470894292000614,-0.030149956230734798,-0.005389397868727918,0.002965490319177533,0.014019737268334276,0.026512988364089163,0.04805337740493213,0.09785996260128815,B_opportunities,2020,BTC/USDT
return_72h,108.0,0.005138982359864969,0.053099175179927446,-0.3112456805104118,-0.08231551500141515,-0.013899925154200965,0.009597657623727773,0.028757766848888255,0.07557620087707499,0.16590353294900861,B_opportunities,2020,BTC/USDT
return_168h,108.0,0.022055266579974492,0.10904496124715952,-0.41082177741982917,-0.11888155646419775,-0.02359774384787916,0.014906831640651541,0.09181608205155756,0.1687396072600202,0.30975968532349407,B_opportunities,2020,BTC/USDT
volatility_ratio_24_168,108.0,0.8042110864914451,0.28581957320756507,0.35261237200949164,0.4237068329525156,0.6110256705075888,0.7644800231893137,0.9459012139560141,1.2513003436428514,2.1737449493458953,B_opportunities,2020,BTC/USDT
natr_ratio_168,108.0,0.8937303967695328,0.2319013819657414,0.46465019707357486,0.6011643341635683,0.7635353531858067,0.8509330207631436,0.9596187101684756,1.3410172662208786,1.7815123830994573,B_opportunities,2020,BTC/USDT
up_fraction_24,108.0,0.5408950617283951,0.07621069401289833,0.375,0.4166666666666667,0.5,0.5416666666666666,0.5833333333333334,0.6666666666666666,0.75,B_opportunities,2020,BTC/USDT
volume_price_interaction,108.0,0.003942516596840105,0.01458028653023257,-0.011973844640120511,-0.006114181792176297,-0.001038384927665453,0.00043031898994642633,0.004577415313707164,0.020169664640398818,0.10941150055309384,B_opportunities,2020,BTC/USDT
range_expansion_24,108.0,1.0710015794721375,0.6532916556124966,0.3891001092959948,0.47263411057801574,0.684659522495805,0.8477538795708534,1.2913563823666947,2.411120557942207,3.9029259058629493,B_opportunities,2020,BTC/USDT
signal_density_168,108.0,0.016313932980599643,0.0051706506271030185,0.005952380952380952,0.005952380952380952,0.011904761904761904,0.017857142857142856,0.017857142857142856,0.023809523809523808,0.02976190476190476,B_opportunities,2020,BTC/USDT
ema20_distance,102.0,0.011793231206124315,0.012637004131370652,-0.01256613970776177,-0.004813763351407962,0.0021973065317082985,0.009332999237239403,0.019771693341822383,0.03253681947193294,0.06434398060167323,B_opportunities,2020,ETH/USDT
ema50_distance,102.0,0.01302145314187317,0.017866532722882977,-0.06232530352544874,-0.008714337959982544,0.0015406351146737829,0.010608228687275623,0.025129555675617088,0.0394500803030223,0.08024408745543532,B_opportunities,2020,ETH/USDT
ema_gap,102.0,0.001044424245044527,0.008362821523503485,-0.059327833894355614,-0.00978255439959421,-0.0014308329226320254,0.0017675994048198126,0.004684657313871535,0.010412931704687715,0.01663501353826318,B_opportunities,2020,ETH/USDT
ema20_slope_6,102.0,0.006143994381117996,0.006349212102525567,-0.005920684786027586,-0.0013975850992480553,0.0018699969036856667,0.005722986680844144,0.00851109429370095,0.01563166505913413,0.041102788701749216,B_opportunities,2020,ETH/USDT
ema50_slope_6,102.0,0.0022516421723718185,0.003540231148684073,-0.015496630649451393,-0.0024304529828235387,0.0005657764357835937,0.0022065323022669725,0.004130968542824021,0.0066153192175990565,0.017269620675984143,B_opportunities,2020,ETH/USDT
trend_efficiency_20,102.0,0.29916202993849117,0.15837983550326315,0.0036275695284161066,0.021494919985437098,0.19640269349924458,0.3040824070354009,0.4101737759421427,0.5597101553509777,0.6471885336273413,B_opportunities,2020,ETH/USDT
range_ratio,102.0,0.011229886034075622,0.007419095558350443,0.002100660207493701,0.0032048188700341115,0.006464268668411331,0.009609641755826525,0.01388635549142275,0.022294705950075402,0.0455564242898098,B_opportunities,2020,ETH/USDT
body_to_range,102.0,0.414335277869884,0.24944396438731414,0.006741573033714525,0.041064533921677616,0.20708333333333678,0.3842184601113281,0.6105186606424519,0.8467704049376236,0.9411764705882869,B_opportunities,2020,ETH/USDT
close_location,102.0,0.5706024235199921,0.2702103206354946,0.044117647058784806,0.15602860174845026,0.3218359289317837,0.5956627680311921,0.782398510689403,0.9475855398958373,0.9976580796252882,B_opportunities,2020,ETH/USDT
natr14,102.0,0.01143869057525795,0.00585428228865114,0.0035975722024754104,0.005280619131160039,0.008483993444754883,0.010470383476281458,0.013234649902223918,0.02018112896536342,0.048661756203788695,B_opportunities,2020,ETH/USDT
return_std_24,102.0,0.006824726162585636,0.003569315878675722,0.0011436343829071267,0.0026908735019190184,0.004900412092685734,0.006130346906453244,0.00792683066141836,0.012244850524239697,0.02538551994936559,B_opportunities,2020,ETH/USDT
return_std_168,102.0,0.008879676553939985,0.005266278909018193,0.003181175564796504,0.004499991295554729,0.006311476687719506,0.007550731908966759,0.009808299987677287,0.0153245541659597,0.03564994336564935,B_opportunities,2020,ETH/USDT
volatility_percentile_720,102.0,0.408973311546841,0.29205901576822474,0.001388888888888889,0.006944444444444444,0.13472222222222222,0.3729166666666667,0.6479166666666667,0.881875,0.9333333333333333,B_opportunities,2020,ETH/USDT
rsi14,102.0,59.32041034757711,8.511238530829491,38.089435080529064,47.41376557938387,52.640234057215274,59.30046590882925,64.68648230450475,73.47826601910296,80.69580943000912,B_opportunities,2020,ETH/USDT
macd_ratio,102.0,0.004131804987809284,0.0038080862788629844,-0.004540394277478397,-0.0006705751484979065,0.0013888309191835647,0.004113034964702377,0.005814155084058039,0.010101357859948418,0.019171671194811522,B_opportunities,2020,ETH/USDT
macd_signal_ratio,102.0,0.002162451185479567,0.002269439690306318,-0.005297959627521803,-0.0009731075768559727,0.0008108344973848261,0.002204263014359149,0.003309934231621097,0.005788618529773624,0.009278343944636159,B_opportunities,2020,ETH/USDT
relative_volume_24,102.0,1.1491111761604864,0.784991962624984,0.36693388682392775,0.44441336503302675,0.6834948357214257,0.8717848163881446,1.3999590429556605,3.022360237677733,5.181128637033934,B_opportunities,2020,ETH/USDT
volume_zscore_24,102.0,0.1598803786337949,1.2427012345265078,-1.9950369865478932,-1.0812303668861352,-0.6614267040080457,-0.19350235686444753,0.7666765943221638,2.873817600198933,4.264004341065308,B_opportunities,2020,ETH/USDT
volume_trend_24_168,102.0,-0.15732666956632763,0.25728926139833547,-0.5832443946758674,-0.4746678174171758,-0.3515506260747967,-0.19926011841530117,-0.0062658430590046554,0.2571398877578634,0.5938216248115433,B_opportunities,2020,ETH/USDT
regime_duration,102.0,25.137254901960784,43.913515187834875,1.0,1.0,2.25,10.0,28.0,98.39999999999964,299.0,B_opportunities,2020,ETH/USDT
regime_transition,102.0,0.18627450980392157,0.3912506516456217,0.0,0.0,0.0,0.0,0.0,1.0,1.0,B_opportunities,2020,ETH/USDT
hour_of_day,102.0,10.794117647058824,6.851086833335519,0.0,0.0,5.0,10.5,16.75,21.0,23.0,B_opportunities,2020,ETH/USDT
day_of_week,102.0,2.9607843137254903,1.9696789135099562,0.0,0.0,1.0,3.0,5.0,6.0,6.0,B_opportunities,2020,ETH/USDT
distance_high_24,102.0,-0.011619616569943578,0.010432406278071545,-0.07860824742268058,-0.029959279373109188,-0.014891624036363793,-0.008846017060597622,-0.0052966152098599395,-0.001155402697938021,-2.5251249936797393e-05,B_opportunities,2020,ETH/USDT
distance_low_24,102.0,0.04728023602824443,0.028558472722296467,0.004989007272112156,0.01061950107819264,0.026689518408371804,0.044224462889157046,0.05996192497943431,0.1022071803286839,0.1585653610193487,B_opportunities,2020,ETH/USDT
distance_high_168,102.0,-0.0683788839338387,0.07760866904281137,-0.4891438097884333,-0.19304326608681988,-0.07901603567219664,-0.04411546601574523,-0.02998600340420271,-0.007039839541748715,-0.00025510204081635734,B_opportunities,2020,ETH/USDT
distance_low_168,102.0,0.12476230954806979,0.08954026145668093,0.014085731675506308,0.03555908640794922,0.0660235109406544,0.09115572208917466,0.16245386545239038,0.3064632426990511,0.49651162790697656,B_opportunities,2020,ETH/USDT
candles_since_prior_signal,102.0,86.53921568627452,45.90943982151489,3.0,23.300000000000004,58.5,80.0,113.5,155.84999999999997,271.0,B_opportunities,2020,ETH/USDT
source_synthetic,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B_opportunities,2020,ETH/USDT
return_1h,102.0,0.0026743061480993553,0.00775118412776898,-0.01574208992506243,-0.006528801862519828,-0.0012449803051699238,0.00121519037445883,0.005418983288257073,0.014186315210240736,0.04028847196616425,B_opportunities,2020,ETH/USDT
return_3h,102.0,0.005458396111193602,0.012266513167125938,-0.026327734906945177,-0.012368440922438426,-0.002660696106955296,0.003593124093901001,0.013665720265743253,0.02388704725456169,0.04408163265306109,B_opportunities,2020,ETH/USDT
return_6h,102.0,0.01160335058680716,0.018532381401981098,-0.025356133329601738,-0.011912670896281414,0.0009095315619827571,0.009761738772624318,0.022521453131775948,0.03862304451770481,0.1062117798519473,B_opportunities,2020,ETH/USDT
return_12h,102.0,0.01795035251303233,0.022213172772808706,-0.03262176788935656,-0.008268102717811759,0.005284320256121078,0.016560358944965436,0.027540097541618624,0.05048487362754909,0.1343234323432343,B_opportunities,2020,ETH/USDT
return_24h,102.0,0.027440423019736725,0.023547899412930832,-0.01853122855181888,-0.0037065635178661106,0.009949329861834222,0.025880594540888868,0.039092058472995406,0.06970921473488406,0.10378664495113998,B_opportunities,2020,ETH/USDT
return_72h,102.0,0.004125455341327681,0.06548426118573994,-0.34660100522922277,-0.0908987373683575,-0.026444909579323023,0.0033658467953548987,0.034967384211557095,0.1072799129647936,0.20789714044825391,B_opportunities,2020,ETH/USDT
return_168h,102.0,0.025931919069466968,0.1255880878719741,-0.47186999876892777,-0.1462877732942112,-0.037579426096849,0.019403918457576497,0.09473608187033461,0.221425464035884,0.3123491634965434,B_opportunities,2020,ETH/USDT
