dataset,year,feature,target,method,r,n
A_portfolio,ALL,day_of_week,return_above_0_5_percent,pearson,-0.06547190004524385,1271
A_portfolio,ALL,day_of_week,return_above_0_5_percent,spearman,-0.06481322406507734,1271
A_portfolio,ALL,distance_high_24,return_above_0_5_percent,pearson,0.03638584718875854,1271
A_portfolio,ALL,distance_high_24,return_above_0_5_percent,spearman,0.05032421063392757,1271
A_portfolio,ALL,distance_low_24,return_above_0_5_percent,pearson,0.1440073152476641,1271
A_portfolio,ALL,distance_low_24,return_above_0_5_percent,spearman,0.1670874251693248,1271
A_portfolio,ALL,distance_high_168,return_above_0_5_percent,pearson,0.05673369526427017,1271
A_portfolio,ALL,distance_high_168,return_above_0_5_percent,spearman,0.06805843999515818,1271
A_portfolio,ALL,distance_low_168,return_above_0_5_percent,pearson,0.09693189540357502,1271
A_portfolio,ALL,distance_low_168,return_above_0_5_percent,spearman,0.10765505662118378,1271
A_portfolio,ALL,candles_since_prior_signal,return_above_0_5_percent,pearson,-0.00857612705571772,1271
A_portfolio,ALL,candles_since_prior_signal,return_above_0_5_percent,spearman,-0.017910458568203298,1271
A_portfolio,ALL,return_1h,return_above_0_5_percent,pearson,0.011126382740054539,1271
A_portfolio,ALL,return_1h,return_above_0_5_percent,spearman,0.007118966180636517,1271
A_portfolio,ALL,return_3h,return_above_0_5_percent,pearson,0.09326505576662823,1271
A_portfolio,ALL,return_3h,return_above_0_5_percent,spearman,0.09004251912109933,1271
A_portfolio,ALL,return_6h,return_above_0_5_percent,pearson,0.14415402493339027,1271
A_portfolio,ALL,return_6h,return_above_0_5_percent,spearman,0.11582712430783161,1271
A_portfolio,ALL,return_12h,return_above_0_5_percent,pearson,0.16870133399849088,1271
A_portfolio,ALL,return_12h,return_above_0_5_percent,spearman,0.16895960562445603,1271
A_portfolio,ALL,return_24h,return_above_0_5_percent,pearson,0.14868003269698288,1271
A_portfolio,ALL,return_24h,return_above_0_5_percent,spearman,0.17760907932716233,1271
A_portfolio,ALL,return_72h,return_above_0_5_percent,pearson,0.07752403365907767,1271
A_portfolio,ALL,return_72h,return_above_0_5_percent,spearman,0.07798099640735372,1271
A_portfolio,ALL,return_168h,return_above_0_5_percent,pearson,0.07982717342953223,1271
A_portfolio,ALL,return_168h,return_above_0_5_percent,spearman,0.07495274452117895,1271
A_portfolio,ALL,volatility_ratio_24_168,return_above_0_5_percent,pearson,0.10977631031000352,1271
A_portfolio,ALL,volatility_ratio_24_168,return_above_0_5_percent,spearman,0.11871964311100937,1271
A_portfolio,ALL,natr_ratio_168,return_above_0_5_percent,pearson,0.06023152049770382,1271
A_portfolio,ALL,natr_ratio_168,return_above_0_5_percent,spearman,0.06942513172740399,1271
A_portfolio,ALL,up_fraction_24,return_above_0_5_percent,pearson,0.09093622549197582,1271
A_portfolio,ALL,up_fraction_24,return_above_0_5_percent,spearman,0.09324264970776125,1271
A_portfolio,ALL,volume_price_interaction,return_above_0_5_percent,pearson,-0.020457721708212598,1271
A_portfolio,ALL,volume_price_interaction,return_above_0_5_percent,spearman,0.009716616562131103,1271
A_portfolio,ALL,range_expansion_24,return_above_0_5_percent,pearson,-0.026699428189356684,1271
A_portfolio,ALL,range_expansion_24,return_above_0_5_percent,spearman,-0.0026210526371837277,1271
A_portfolio,ALL,signal_density_168,return_above_0_5_percent,pearson,0.02794469031085771,1271
A_portfolio,ALL,signal_density_168,return_above_0_5_percent,spearman,0.02876920989250535,1271
A_portfolio,ALL,ema20_distance,return_above_1_percent,pearson,0.19146531994342675,1271
A_portfolio,ALL,ema20_distance,return_above_1_percent,spearman,0.17814544128574344,1271
A_portfolio,ALL,ema50_distance,return_above_1_percent,pearson,0.20394623509827114,1271
A_portfolio,ALL,ema50_distance,return_above_1_percent,spearman,0.19291775260039468,1271
A_portfolio,ALL,ema_gap,return_above_1_percent,pearson,0.138514811008326,1271
A_portfolio,ALL,ema_gap,return_above_1_percent,spearman,0.15160803917406648,1271
A_portfolio,ALL,ema20_slope_6,return_above_1_percent,pearson,0.1782556204752311,1271
A_portfolio,ALL,ema20_slope_6,return_above_1_percent,spearman,0.18215506864257736,1271
A_portfolio,ALL,ema50_slope_6,return_above_1_percent,pearson,0.1827174598440401,1271
A_portfolio,ALL,ema50_slope_6,return_above_1_percent,spearman,0.19224148769930188,1271
A_portfolio,ALL,trend_efficiency_20,return_above_1_percent,pearson,0.1263583726220818,1271
A_portfolio,ALL,trend_efficiency_20,return_above_1_percent,spearman,0.13762710167984302,1271
A_portfolio,ALL,range_ratio,return_above_1_percent,pearson,0.08276086598175951,1271
A_portfolio,ALL,range_ratio,return_above_1_percent,spearman,0.08750196351444696,1271
A_portfolio,ALL,body_to_range,return_above_1_percent,pearson,-0.016072885466723693,1271
A_portfolio,ALL,body_to_range,return_above_1_percent,spearman,-0.01750135194388385,1271
A_portfolio,ALL,close_location,return_above_1_percent,pearson,0.01264755418513465,1271
A_portfolio,ALL,close_location,return_above_1_percent,spearman,0.014096047649316608,1271
A_portfolio,ALL,natr14,return_above_1_percent,pearson,0.1050274943723338,1271
A_portfolio,ALL,natr14,return_above_1_percent,spearman,0.1449796839023626,1271
A_portfolio,ALL,return_std_24,return_above_1_percent,pearson,0.11211638737715293,1271
A_portfolio,ALL,return_std_24,return_above_1_percent,spearman,0.14824110328351936,1271
A_portfolio,ALL,return_std_168,return_above_1_percent,pearson,0.09031053355266788,1271
A_portfolio,ALL,return_std_168,return_above_1_percent,spearman,0.10421673784287536,1271
A_portfolio,ALL,volatility_percentile_720,return_above_1_percent,pearson,0.05847185770656623,1271
A_portfolio,ALL,volatility_percentile_720,return_above_1_percent,spearman,0.06283796458934475,1271
A_portfolio,ALL,rsi14,return_above_1_percent,pearson,0.15296563042881897,1271
A_portfolio,ALL,rsi14,return_above_1_percent,spearman,0.15399175304529428,1271
A_portfolio,ALL,macd_ratio,return_above_1_percent,pearson,0.19400344901072913,1271
A_portfolio,ALL,macd_ratio,return_above_1_percent,spearman,0.2035077731792096,1271
A_portfolio,ALL,macd_signal_ratio,return_above_1_percent,pearson,0.1633859196372985,1271
A_portfolio,ALL,macd_signal_ratio,return_above_1_percent,spearman,0.180159847374105,1271
A_portfolio,ALL,relative_volume_24,return_above_1_percent,pearson,0.0016581302247591406,1271
A_portfolio,ALL,relative_volume_24,return_above_1_percent,spearman,0.026479847652009524,1271
A_portfolio,ALL,volume_zscore_24,return_above_1_percent,pearson,0.006414769966471173,1271
A_portfolio,ALL,volume_zscore_24,return_above_1_percent,spearman,0.027794007814416804,1271
A_portfolio,ALL,volume_trend_24_168,return_above_1_percent,pearson,0.08222759520893745,1271
A_portfolio,ALL,volume_trend_24_168,return_above_1_percent,spearman,0.08530530163713845,1271
A_portfolio,ALL,regime_duration,return_above_1_percent,pearson,0.0470818424473119,1271
A_portfolio,ALL,regime_duration,return_above_1_percent,spearman,-0.055908843041774695,1271
A_portfolio,ALL,regime_transition,return_above_1_percent,pearson,0.0435141694380869,1271
A_portfolio,ALL,regime_transition,return_above_1_percent,spearman,0.04351416943808684,1271
A_portfolio,ALL,hour_of_day,return_above_1_percent,pearson,0.03669030024313621,1271
A_portfolio,ALL,hour_of_day,return_above_1_percent,spearman,0.036563667194565656,1271
A_portfolio,ALL,day_of_week,return_above_1_percent,pearson,-0.07452945968386623,1271
A_portfolio,ALL,day_of_week,return_above_1_percent,spearman,-0.0737647441032259,1271
A_portfolio,ALL,distance_high_24,return_above_1_percent,pearson,0.03360607424126379,1271
A_portfolio,ALL,distance_high_24,return_above_1_percent,spearman,0.042691020458347544,1271
A_portfolio,ALL,distance_low_24,return_above_1_percent,pearson,0.16193582237790935,1271
A_portfolio,ALL,distance_low_24,return_above_1_percent,spearman,0.1794068431934556,1271
A_portfolio,ALL,distance_high_168,return_above_1_percent,pearson,0.04507355899613905,1271
A_portfolio,ALL,distance_high_168,return_above_1_percent,spearman,0.059698363290085585,1271
A_portfolio,ALL,distance_low_168,return_above_1_percent,pearson,0.12420359101112528,1271
A_portfolio,ALL,distance_low_168,return_above_1_percent,spearman,0.14063911840244073,1271
A_portfolio,ALL,candles_since_prior_signal,return_above_1_percent,pearson,-0.005555970302241898,1271
A_portfolio,ALL,candles_since_prior_signal,return_above_1_percent,spearman,-0.012319542412900914,1271
