dataset,year,feature,btc_n,eth_n,ks_statistic
B_opportunities,2022,candles_since_prior_signal,106,107,0.07785223064715217
B_opportunities,2022,source_synthetic,106,107,0.0
B_opportunities,2022,return_1h,106,107,0.1291659319344031
B_opportunities,2022,return_3h,106,107,0.11100335037912185
B_opportunities,2022,return_6h,106,107,0.1668136131193793
B_opportunities,2022,return_12h,106,107,0.18541703403279844
B_opportunities,2022,return_24h,106,107,0.20472579791923823
B_opportunities,2022,return_72h,106,107,0.11867395521072122
B_opportunities,2022,return_168h,106,107,0.13807088696878858
B_opportunities,2022,volatility_ratio_24_168,106,107,0.08755069652618586
B_opportunities,2022,natr_ratio_168,106,107,0.07811673426203491
B_opportunities,2022,up_fraction_24,106,107,0.06277552459883619
B_opportunities,2022,volume_price_interaction,106,107,0.07335566919414566
B_opportunities,2022,range_expansion_24,106,107,0.10633045318286016
B_opportunities,2022,signal_density_168,106,107,0.05995415270675366
B_opportunities,2023,ema20_distance,115,102,0.08832054560954816
B_opportunities,2023,ema50_distance,115,102,0.07450980392156863
B_opportunities,2023,ema_gap,115,102,0.056351236146632566
B_opportunities,2023,ema20_slope_6,115,102,0.09948849104859335
B_opportunities,2023,ema50_slope_6,115,102,0.07468030690537085
B_opportunities,2023,trend_efficiency_20,115,102,0.10502983802216538
B_opportunities,2023,range_ratio,115,102,0.07450980392156863
B_opportunities,2023,body_to_range,115,102,0.11662404092071611
B_opportunities,2023,close_location,115,102,0.18491048593350384
B_opportunities,2023,natr14,115,102,0.21304347826086956
B_opportunities,2023,return_std_24,115,102,0.1969309462915601
B_opportunities,2023,return_std_168,115,102,0.22506393861892582
B_opportunities,2023,volatility_percentile_720,115,102,0.12276214833759591
B_opportunities,2023,rsi14,115,102,0.08900255754475703
B_opportunities,2023,macd_ratio,115,102,0.09948849104859335
B_opportunities,2023,macd_signal_ratio,115,102,0.12531969309462915
B_opportunities,2023,relative_volume_24,115,102,0.14944586530264278
B_opportunities,2023,volume_zscore_24,115,102,0.07041773231031544
B_opportunities,2023,volume_trend_24_168,115,102,0.1454390451832907
B_opportunities,2023,regime_duration,115,102,0.10588235294117647
B_opportunities,2023,regime_transition,115,102,0.021483375959079284
B_opportunities,2023,hour_of_day,115,102,0.09624893435635123
B_opportunities,2023,day_of_week,115,102,0.06589940323955669
B_opportunities,2023,distance_high_24,115,102,0.16709292412617222
B_opportunities,2023,distance_low_24,115,102,0.15950554134697356
B_opportunities,2023,distance_high_168,115,102,0.15660699062233588
B_opportunities,2023,distance_low_168,115,102,0.17195225916453538
B_opportunities,2023,candles_since_prior_signal,115,102,0.11500426257459506
B_opportunities,2023,source_synthetic,115,102,0.0
B_opportunities,2023,return_1h,115,102,0.11773231031543052
B_opportunities,2023,return_3h,115,102,0.1205456095481671
B_opportunities,2023,return_6h,115,102,0.1216538789428815
B_opportunities,2023,return_12h,115,102,0.07306052855924978
B_opportunities,2023,return_24h,115,102,0.10835464620630861
B_opportunities,2023,return_72h,115,102,0.1382779198635976
B_opportunities,2023,return_168h,115,102,0.07152600170502983
B_opportunities,2023,volatility_ratio_24_168,115,102,0.13861892583120206
B_opportunities,2023,natr_ratio_168,115,102,0.126768968456948
B_opportunities,2023,up_fraction_24,115,102,0.04697357203751066
B_opportunities,2023,volume_price_interaction,115,102,0.08610400682011936
B_opportunities,2023,range_expansion_24,115,102,0.11389599317988065
B_opportunities,2023,signal_density_168,115,102,0.12361466325660699
B_opportunities,2024,ema20_distance,106,99,0.15246807699637888
B_opportunities,2024,ema50_distance,106,99,0.08452449018486755
