fold,evaluation_year,target,feature_set,model,pair,feature,ap_drop
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,hour_of_day,-0.0015418046481073995
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,day_of_week,-0.00015423858647845012
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,distance_high_24,0.011014688756437832
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,distance_low_24,0.000439058532889743
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,distance_high_168,-0.01294280965756702
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,distance_low_168,-0.0033321352933187534
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,candles_since_prior_signal,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,source_synthetic,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,pair,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,regime,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_1h,-0.0030771937307987516
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_3h,-0.007099226645417252
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_6h,-0.0012943416306616662
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_12h,-0.007056321580435361
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_24h,0.0005672806196642307
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_72h,-0.008384188812108914
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,return_168h,0.010974836288097903
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,volatility_ratio_24_168,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,natr_ratio_168,-0.001106800254230933
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,up_fraction_24,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,volume_price_interaction,-0.003468965666783138
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,range_expansion_24,0.006539941282359925
1,2020,profitable_after_fees,A_all,hist_gradient,ALL,signal_density_168,0.0
1,2020,profitable_after_fees,A_all,hist_gradient,BTC/USDT,ema20_distance,-0.0036809359815847174
1,2020,profitable_after_fees,A_all,hist_gradient,BTC/USDT,ema50_distance,0.0
