target,feature_set,model,split,threshold,trades,retained_pct,win_rate_pct,net_profit_usdt,return_pct,average_trade_pct,profit_factor,expectancy_usdt,closed_subset_drawdown_pct,btc_profit_usdt,eth_profit_usdt,regime_counts
profitable_after_fees,A_all,hist_gradient,validation,0.55,11,5.365853658536586,18.181818181818183,-7.701863899999999,-0.7701863899999999,-0.7033432165356261,0.41708882766370087,-0.7001694454545454,0.7701863900000036,-5.887074569999999,-1.8147893300000004,"{'RANGE': 7, 'TREND_UP': 3, 'TREND_DOWN': 1}"
profitable_after_fees,A_all,hist_gradient,validation,0.6,5,2.4390243902439024,0.0,-10.30393752,-1.030393752,-2.0652667698284093,0.0,-2.060787504,1.0303937519999977,-3.85874322,-6.445194300000001,"{'RANGE': 2, 'TREND_UP': 2, 'TREND_DOWN': 1}"
profitable_after_fees,A_all,hist_gradient,validation,0.65,2,0.975609756097561,0.0,-2.95744226,-0.295744226,-1.4853208148360948,0.0,-1.47872113,0.29574422599999933,-2.14618463,-0.81125763,"{'RANGE': 1, 'TREND_DOWN': 1}"
profitable_after_fees,A_all,hist_gradient,validation,0.7,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,B_reduced,dummy,development_oof,unfiltered,166,100.0,31.92771084337349,-7.420845229999996,-0.7420845229999996,-0.044855654672136896,0.9503796747445725,-0.044703886927710816,4.643765806825128,-18.820491420000003,11.399646189999997,"{'RANGE': 100, 'TREND_UP': 34, 'LOW_VOLATILITY': 30, 'TREND_DOWN': 2}"
profitable_after_fees,B_reduced,dummy,development_oof,0.5,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,B_reduced,dummy,development_oof,0.55,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,B_reduced,dummy,development_oof,0.6,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,B_reduced,dummy,development_oof,0.65,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
profitable_after_fees,B_reduced,dummy,development_oof,0.7,0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,{}
