fold,target,feature_set,model,feature,coefficient
1,profitable_after_fees,E_no_regime,logistic,numeric__volume_zscore_24,0.03828012905136933
1,profitable_after_fees,E_no_regime,logistic,numeric__volume_trend_24_168,0.03285322257293317
1,profitable_after_fees,E_no_regime,logistic,numeric__hour_of_day,0.011293098497233811
1,profitable_after_fees,E_no_regime,logistic,numeric__day_of_week,-0.16261274293664182
1,profitable_after_fees,E_no_regime,logistic,numeric__distance_high_24,-0.020954726525057015
1,profitable_after_fees,E_no_regime,logistic,numeric__distance_low_24,-0.13058072257587075
1,profitable_after_fees,E_no_regime,logistic,numeric__distance_high_168,-0.17373492240790495
1,profitable_after_fees,E_no_regime,logistic,numeric__distance_low_168,0.03198034995004984
1,profitable_after_fees,E_no_regime,logistic,numeric__candles_since_prior_signal,0.2136301651263034
1,profitable_after_fees,E_no_regime,logistic,numeric__source_synthetic,0.0
1,profitable_after_fees,E_no_regime,logistic,numeric__return_1h,-0.18135658796193194
1,profitable_after_fees,E_no_regime,logistic,numeric__return_3h,0.06214671251569839
1,profitable_after_fees,E_no_regime,logistic,numeric__return_6h,0.10442331301105345
1,profitable_after_fees,E_no_regime,logistic,numeric__return_12h,-0.13881036448603634
1,profitable_after_fees,E_no_regime,logistic,numeric__return_24h,0.1958581734308159
1,profitable_after_fees,E_no_regime,logistic,numeric__return_72h,-0.10575835932515203
1,profitable_after_fees,E_no_regime,logistic,category__pair_BTC/USDT,0.020284878631274525
1,profitable_after_fees,E_no_regime,logistic,category__pair_ETH/USDT,-0.02037592102491084
2,profitable_after_fees,A_all,logistic,numeric__ema20_distance,0.0053296637974245605
2,profitable_after_fees,A_all,logistic,numeric__ema50_distance,-0.04148107730411941
2,profitable_after_fees,A_all,logistic,numeric__ema_gap,-0.10323002135790389
2,profitable_after_fees,A_all,logistic,numeric__ema20_slope_6,-0.1220262409274793
2,profitable_after_fees,A_all,logistic,numeric__ema50_slope_6,-0.1519002721667858
2,profitable_after_fees,A_all,logistic,numeric__trend_efficiency_20,0.33411988064100834
2,profitable_after_fees,A_all,logistic,numeric__body_ratio,-0.23765162809001555
2,profitable_after_fees,A_all,logistic,numeric__range_ratio,0.0059357855999826025
2,profitable_after_fees,A_all,logistic,numeric__body_to_range,-0.3373829030009782
2,profitable_after_fees,A_all,logistic,numeric__close_location,0.0052939186843978196
2,profitable_after_fees,A_all,logistic,numeric__atr14,-0.05253118174054886
2,profitable_after_fees,A_all,logistic,numeric__natr14,0.014157340241594757
2,profitable_after_fees,A_all,logistic,numeric__return_std_24,-0.09740362266543237
2,profitable_after_fees,A_all,logistic,numeric__return_std_168,0.06129082431698127
2,profitable_after_fees,A_all,logistic,numeric__volatility_percentile_720,0.13241540371000987
2,profitable_after_fees,A_all,logistic,numeric__rsi14,0.04035159761122314
2,profitable_after_fees,A_all,logistic,numeric__macd_ratio,-0.0944875913726841
2,profitable_after_fees,A_all,logistic,numeric__macd_signal_ratio,-0.15757820635326608
2,profitable_after_fees,A_all,logistic,numeric__macd_hist_ratio,0.021460016546182757
2,profitable_after_fees,A_all,logistic,numeric__relative_volume_24,-0.12645866448128087
2,profitable_after_fees,A_all,logistic,numeric__volume_zscore_24,0.009073779332416952
2,profitable_after_fees,A_all,logistic,numeric__volume_trend_24_168,0.17223102984132696
2,profitable_after_fees,A_all,logistic,numeric__regime_duration,-0.37175496139661723
2,profitable_after_fees,A_all,logistic,numeric__regime_transition,0.018400583176568702
2,profitable_after_fees,A_all,logistic,numeric__hour_of_day,-0.09820363794401002
2,profitable_after_fees,A_all,logistic,numeric__day_of_week,-0.2803044294413935
2,profitable_after_fees,A_all,logistic,numeric__distance_high_24,-0.006931993022730115
2,profitable_after_fees,A_all,logistic,numeric__distance_low_24,-0.16811689156454035
2,profitable_after_fees,A_all,logistic,numeric__distance_high_168,-0.26513442199290105
2,profitable_after_fees,A_all,logistic,numeric__distance_low_168,-0.04286148391708269
2,profitable_after_fees,A_all,logistic,numeric__candles_since_prior_signal,0.08973096331404833
2,profitable_after_fees,A_all,logistic,numeric__source_synthetic,0.0
2,profitable_after_fees,A_all,logistic,numeric__return_1h,-0.23686494089391413
2,profitable_after_fees,A_all,logistic,numeric__return_3h,0.006118661952965786
2,profitable_after_fees,A_all,logistic,numeric__return_6h,0.14890394022879425
2,profitable_after_fees,A_all,logistic,numeric__return_12h,-0.188396879587014
2,profitable_after_fees,A_all,logistic,numeric__return_24h,0.3237344864994588
2,profitable_after_fees,A_all,logistic,numeric__return_72h,-0.19077044838385213
2,profitable_after_fees,A_all,logistic,category__pair_BTC/USDT,0.004638570004001277
2,profitable_after_fees,A_all,logistic,category__pair_ETH/USDT,-0.00471197333340378
2,profitable_after_fees,A_all,logistic,category__regime_LOW_VOLATILITY,0.005785727307681354
2,profitable_after_fees,A_all,logistic,category__regime_RANGE,-0.0225459605571282
2,profitable_after_fees,A_all,logistic,category__regime_TREND_DOWN,0.06611350409279701
2,profitable_after_fees,A_all,logistic,category__regime_TREND_UP,-0.04942667417275265
2,profitable_after_fees,B_reduced,logistic,numeric__ema20_distance,-0.004788907376979626
2,profitable_after_fees,B_reduced,logistic,numeric__ema50_distance,-0.04493870073985064
2,profitable_after_fees,B_reduced,logistic,numeric__ema_gap,-0.09370413447682926
2,profitable_after_fees,B_reduced,logistic,numeric__ema20_slope_6,-0.10837761646224181
2,profitable_after_fees,B_reduced,logistic,numeric__ema50_slope_6,-0.13963162562696038
2,profitable_after_fees,B_reduced,logistic,numeric__trend_efficiency_20,0.33214530177423734
2,profitable_after_fees,B_reduced,logistic,numeric__range_ratio,0.003745058621068541
2,profitable_after_fees,B_reduced,logistic,numeric__body_to_range,-0.34440828173270827
2,profitable_after_fees,B_reduced,logistic,numeric__close_location,-0.03197883371313798
2,profitable_after_fees,B_reduced,logistic,numeric__natr14,0.013631672267582697
2,profitable_after_fees,B_reduced,logistic,numeric__return_std_24,-0.10281423349251222
2,profitable_after_fees,B_reduced,logistic,numeric__return_std_168,0.05996547201177436
2,profitable_after_fees,B_reduced,logistic,numeric__volatility_percentile_720,0.13343236804501332
2,profitable_after_fees,B_reduced,logistic,numeric__rsi14,0.03264449138984852
2,profitable_after_fees,B_reduced,logistic,numeric__macd_ratio,-0.08434411334876668
2,profitable_after_fees,B_reduced,logistic,numeric__macd_signal_ratio,-0.15498531637551816
2,profitable_after_fees,B_reduced,logistic,numeric__relative_volume_24,-0.13015097859025934
2,profitable_after_fees,B_reduced,logistic,numeric__volume_zscore_24,0.007415076203357856
2,profitable_after_fees,B_reduced,logistic,numeric__volume_trend_24_168,0.16922826593025977
2,profitable_after_fees,B_reduced,logistic,numeric__regime_duration,-0.3748560320130731
2,profitable_after_fees,B_reduced,logistic,numeric__regime_transition,0.016439666483741185
2,profitable_after_fees,B_reduced,logistic,numeric__hour_of_day,-0.09382530364039415
2,profitable_after_fees,B_reduced,logistic,numeric__day_of_week,-0.27538396740504256
2,profitable_after_fees,B_reduced,logistic,numeric__distance_high_24,-0.014491563524907995
2,profitable_after_fees,B_reduced,logistic,numeric__distance_low_24,-0.17497246257589805
2,profitable_after_fees,B_reduced,logistic,numeric__distance_high_168,-0.27270592517936854
2,profitable_after_fees,B_reduced,logistic,numeric__distance_low_168,-0.04427028245420404
2,profitable_after_fees,B_reduced,logistic,numeric__candles_since_prior_signal,0.082062122055135
2,profitable_after_fees,B_reduced,logistic,numeric__return_1h,-0.3260679614178332
2,profitable_after_fees,B_reduced,logistic,numeric__return_3h,-0.00767564908461157
2,profitable_after_fees,B_reduced,logistic,numeric__return_6h,0.14676022681088252
2,profitable_after_fees,B_reduced,logistic,numeric__return_12h,-0.1879478663159706
2,profitable_after_fees,B_reduced,logistic,numeric__return_24h,0.31955679306354773
2,profitable_after_fees,B_reduced,logistic,numeric__return_72h,-0.18796352469217434
2,profitable_after_fees,B_reduced,logistic,category__pair_BTC/USDT,-0.01100950136725714
2,profitable_after_fees,B_reduced,logistic,category__pair_ETH/USDT,0.010287168651104534
2,profitable_after_fees,B_reduced,logistic,category__regime_LOW_VOLATILITY,0.00872701277141969
2,profitable_after_fees,B_reduced,logistic,category__regime_RANGE,-0.020135681507306862
2,profitable_after_fees,B_reduced,logistic,category__regime_TREND_DOWN,0.06235226127084882
2,profitable_after_fees,B_reduced,logistic,category__regime_TREND_UP,-0.05166592525111428
2,profitable_after_fees,C_price,logistic,numeric__ema20_distance,0.007239405472410031
2,profitable_after_fees,C_price,logistic,numeric__ema50_distance,-0.04920869158170749
2,profitable_after_fees,C_price,logistic,numeric__ema_gap,-0.12698762752822676
2,profitable_after_fees,C_price,logistic,numeric__ema20_slope_6,-0.11822918431509959
2,profitable_after_fees,C_price,logistic,numeric__ema50_slope_6,-0.16108020545402552
2,profitable_after_fees,C_price,logistic,numeric__return_1h,-0.2250822045592748
2,profitable_after_fees,C_price,logistic,numeric__return_3h,0.058326458581765425
2,profitable_after_fees,C_price,logistic,numeric__return_6h,0.11366613928494998
2,profitable_after_fees,C_price,logistic,numeric__return_12h,-0.1770508202407256
2,profitable_after_fees,C_price,logistic,numeric__return_24h,0.3520684440014928
2,profitable_after_fees,C_price,logistic,numeric__return_72h,-0.21768749274195437
2,profitable_after_fees,C_price,logistic,numeric__trend_efficiency_20,0.37763352620524787
2,profitable_after_fees,C_price,logistic,numeric__body_ratio,-0.22548520383582743
2,profitable_after_fees,C_price,logistic,numeric__range_ratio,-0.037778662400760166
2,profitable_after_fees,C_price,logistic,numeric__body_to_range,-0.36864786216979795
2,profitable_after_fees,C_price,logistic,numeric__close_location,0.02771020735468496
2,profitable_after_fees,C_price,logistic,numeric__distance_high_24,-0.09702890442838066
2,profitable_after_fees,C_price,logistic,numeric__distance_low_24,-0.12988659873998445
2,profitable_after_fees,C_price,logistic,numeric__distance_high_168,-0.26434900413708917
2,profitable_after_fees,C_price,logistic,numeric__distance_low_168,-0.049529306331324796
2,profitable_after_fees,C_price,logistic,numeric__candles_since_prior_signal,0.10083330258099982
2,profitable_after_fees,C_price,logistic,category__pair_BTC/USDT,-0.003603424077075417
2,profitable_after_fees,C_price,logistic,category__pair_ETH/USDT,0.0036365065261125666
2,profitable_after_fees,D_price_volatility,logistic,numeric__ema20_distance,0.007676047665721485
2,profitable_after_fees,D_price_volatility,logistic,numeric__ema50_distance,-0.05196399527944891
2,profitable_after_fees,D_price_volatility,logistic,numeric__ema_gap,-0.1333594895788829
2,profitable_after_fees,D_price_volatility,logistic,numeric__ema20_slope_6,-0.1262714034922862
2,profitable_after_fees,D_price_volatility,logistic,numeric__ema50_slope_6,-0.1701247864844475
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_1h,-0.2232760136144673
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_3h,0.05734767335390151
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_6h,0.12115962646111395
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_12h,-0.1750160713168719
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_24h,0.3282781854503697
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_72h,-0.22336110321312422
2,profitable_after_fees,D_price_volatility,logistic,numeric__trend_efficiency_20,0.3859418206509334
2,profitable_after_fees,D_price_volatility,logistic,numeric__body_ratio,-0.22377807952315695
2,profitable_after_fees,D_price_volatility,logistic,numeric__range_ratio,-0.05999470815810149
2,profitable_after_fees,D_price_volatility,logistic,numeric__body_to_range,-0.3539496513002427
2,profitable_after_fees,D_price_volatility,logistic,numeric__close_location,0.01989931373222573
2,profitable_after_fees,D_price_volatility,logistic,numeric__distance_high_24,-0.03167994932724734
2,profitable_after_fees,D_price_volatility,logistic,numeric__distance_low_24,-0.1500980554358282
2,profitable_after_fees,D_price_volatility,logistic,numeric__distance_high_168,-0.25298877441047957
2,profitable_after_fees,D_price_volatility,logistic,numeric__distance_low_168,-0.06933565504923386
2,profitable_after_fees,D_price_volatility,logistic,numeric__candles_since_prior_signal,0.09171320681986465
2,profitable_after_fees,D_price_volatility,logistic,numeric__atr14,-0.05851043937938042
2,profitable_after_fees,D_price_volatility,logistic,numeric__natr14,0.07144494474569969
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_std_24,-0.0902594885303013
2,profitable_after_fees,D_price_volatility,logistic,numeric__return_std_168,-0.016032822009417243
2,profitable_after_fees,D_price_volatility,logistic,numeric__volatility_percentile_720,0.22204441138220793
2,profitable_after_fees,D_price_volatility,logistic,category__pair_BTC/USDT,0.008506138563568457
2,profitable_after_fees,D_price_volatility,logistic,category__pair_ETH/USDT,-0.00882782185534288
2,profitable_after_fees,E_no_regime,logistic,numeric__ema20_distance,0.003012050717849085
2,profitable_after_fees,E_no_regime,logistic,numeric__ema50_distance,-0.04426545853112228
2,profitable_after_fees,E_no_regime,logistic,numeric__ema_gap,-0.10702257443500804
2,profitable_after_fees,E_no_regime,logistic,numeric__ema20_slope_6,-0.1121847614391969
2,profitable_after_fees,E_no_regime,logistic,numeric__ema50_slope_6,-0.14607217004586884
2,profitable_after_fees,E_no_regime,logistic,numeric__trend_efficiency_20,0.38741581216047916
2,profitable_after_fees,E_no_regime,logistic,numeric__body_ratio,-0.24842044840756095
2,profitable_after_fees,E_no_regime,logistic,numeric__range_ratio,-0.008435273240622506
2,profitable_after_fees,E_no_regime,logistic,numeric__body_to_range,-0.3610296963602893
2,profitable_after_fees,E_no_regime,logistic,numeric__close_location,0.01728992352535054
2,profitable_after_fees,E_no_regime,logistic,numeric__atr14,-0.05402734774287075
2,profitable_after_fees,E_no_regime,logistic,numeric__natr14,0.01931188358902533
2,profitable_after_fees,E_no_regime,logistic,numeric__return_std_24,-0.11176134030870936
2,profitable_after_fees,E_no_regime,logistic,numeric__return_std_168,0.07499053260892974
2,profitable_after_fees,E_no_regime,logistic,numeric__volatility_percentile_720,0.13083968666375165
2,profitable_after_fees,E_no_regime,logistic,numeric__rsi14,0.06442934723372983
2,profitable_after_fees,E_no_regime,logistic,numeric__macd_ratio,-0.08043539797672397
2,profitable_after_fees,E_no_regime,logistic,numeric__macd_signal_ratio,-0.13669615183490583
2,profitable_after_fees,E_no_regime,logistic,numeric__macd_hist_ratio,0.02188012473599508
2,profitable_after_fees,E_no_regime,logistic,numeric__relative_volume_24,-0.13336957446999262
2,profitable_after_fees,E_no_regime,logistic,numeric__volume_zscore_24,-0.004609499438145186
2,profitable_after_fees,E_no_regime,logistic,numeric__volume_trend_24_168,0.19322555981293812
2,profitable_after_fees,E_no_regime,logistic,numeric__hour_of_day,-0.07221816876600623
2,profitable_after_fees,E_no_regime,logistic,numeric__day_of_week,-0.2285452640426282
2,profitable_after_fees,E_no_regime,logistic,numeric__distance_high_24,-0.03215841319376328
2,profitable_after_fees,E_no_regime,logistic,numeric__distance_low_24,-0.1563392986547491
2,profitable_after_fees,E_no_regime,logistic,numeric__distance_high_168,-0.2842082924697429
2,profitable_after_fees,E_no_regime,logistic,numeric__distance_low_168,-0.017859756578039215
