fold,model,feature_set,feature,ap_drop
1,forest,E_no_regime,return_std_168,-0.0016733436756447007
1,forest,E_no_regime,volatility_percentile_720,0.0015492267925584224
1,forest,E_no_regime,rsi14,0.00019516405363878553
1,forest,E_no_regime,macd_ratio,-0.010200210793304595
1,forest,E_no_regime,macd_signal_ratio,-0.0031184652344803574
1,forest,E_no_regime,macd_hist_ratio,-0.021220648680241965
1,forest,E_no_regime,relative_volume_24,-0.03992273711366053
1,forest,E_no_regime,volume_zscore_24,-0.013221908047361156
1,forest,E_no_regime,volume_trend_24_168,0.0
1,forest,E_no_regime,hour_of_day,0.0
1,forest,E_no_regime,day_of_week,-0.0005097455648926386
1,forest,E_no_regime,distance_high_24,-0.007935026237722317
1,forest,E_no_regime,distance_low_24,0.0
1,forest,E_no_regime,distance_high_168,0.006332760963699446
1,forest,E_no_regime,distance_low_168,0.0020538645770198003
1,forest,E_no_regime,candles_since_prior_signal,0.0
1,forest,E_no_regime,source_synthetic,0.0
1,forest,E_no_regime,pair,0.0
1,forest,E_no_regime,return_1h,-0.011345413796711482
1,forest,E_no_regime,return_3h,-0.000559543261749155
1,forest,E_no_regime,return_6h,-0.0025014822944813644
1,forest,E_no_regime,return_12h,-0.01961417853742405
1,forest,E_no_regime,return_24h,0.0
1,forest,E_no_regime,return_72h,0.001021654704040605
1,hist_gradient,E_no_regime,ema20_distance,0.0
1,hist_gradient,E_no_regime,ema50_distance,0.0
1,hist_gradient,E_no_regime,ema_gap,-0.01258649640899064
1,hist_gradient,E_no_regime,ema20_slope_6,0.0
1,hist_gradient,E_no_regime,ema50_slope_6,0.0
1,hist_gradient,E_no_regime,trend_efficiency_20,0.0022633684515229366
1,hist_gradient,E_no_regime,body_ratio,0.010492950532702642
1,hist_gradient,E_no_regime,range_ratio,0.0
1,hist_gradient,E_no_regime,body_to_range,0.0
1,hist_gradient,E_no_regime,close_location,-0.009825286307437342
1,hist_gradient,E_no_regime,atr14,0.0
1,hist_gradient,E_no_regime,natr14,0.0
1,hist_gradient,E_no_regime,return_std_24,0.0
1,hist_gradient,E_no_regime,return_std_168,0.0
1,hist_gradient,E_no_regime,volatility_percentile_720,0.021156278347751634
1,hist_gradient,E_no_regime,rsi14,0.0
1,hist_gradient,E_no_regime,macd_ratio,0.0
1,hist_gradient,E_no_regime,macd_signal_ratio,0.0
1,hist_gradient,E_no_regime,macd_hist_ratio,0.0
1,hist_gradient,E_no_regime,relative_volume_24,-0.06967168226618331
1,hist_gradient,E_no_regime,volume_zscore_24,0.0
1,hist_gradient,E_no_regime,volume_trend_24_168,0.0
1,hist_gradient,E_no_regime,hour_of_day,0.0
1,hist_gradient,E_no_regime,day_of_week,0.0
1,hist_gradient,E_no_regime,distance_high_24,0.0
1,hist_gradient,E_no_regime,distance_low_24,0.0
1,hist_gradient,E_no_regime,distance_high_168,0.0
1,hist_gradient,E_no_regime,distance_low_168,0.0
