feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,split,pair
ema_gap,102.0,0.0008142715779575238,0.003360543114765537,-0.010383598979197045,-0.007925119390996313,-0.005349879122682198,-0.0009122646378000112,0.0007226817088499779,0.0026931685758557794,0.005939153231498127,0.009394840760348896,0.011333945202991587,development,ETH/USDT
ema20_slope_6,102.0,0.003330010111999234,0.003996089706452891,-0.0038533567195420115,-0.0028364137094935714,-0.0005785405912007434,0.0005429692669976505,0.0016487347913890504,0.005652586853625019,0.01064549152784556,0.015182839356031867,0.01706879884537238,development,ETH/USDT
ema50_slope_6,102.0,0.0012793792082628056,0.001975536976402984,-0.0037191614940896844,-0.0032127933766467774,-0.0012027029399992836,-3.1551500351001405e-06,0.000756527166593024,0.0024990149253588667,0.00477259572255798,0.006841244344695409,0.0071882398164282435,development,ETH/USDT
trend_efficiency_20,102.0,0.270520286893599,0.16383915904416024,0.006136014999146087,0.028583817266745647,0.0636930319236871,0.1371741191059011,0.2547382352168146,0.3806194689368223,0.5062164551588921,0.7794512143794631,0.7886490632190225,development,ETH/USDT
body_ratio,102.0,0.0012322736790091795,0.006420178654740006,-0.01142178688037994,-0.010538015011566714,-0.00397950576412909,-0.0012926400082090052,0.00012540474540364681,0.002255628342573551,0.011708028649777926,0.01971995839358776,0.046161233073201594,development,ETH/USDT
range_ratio,102.0,0.006724205036538116,0.006927390008799381,0.0005227505390865133,0.000780002054782178,0.0013003050137005516,0.002621016943060161,0.004307668191414468,0.008935727126854889,0.016691282744542204,0.027647859477062317,0.0529783241443818,development,ETH/USDT
body_to_range,102.0,0.41751217430174437,0.25799639073559033,0.00452488687782433,0.014949761019636845,0.059464487907780285,0.2052061925800853,0.3808664698253301,0.63559218559219,0.8360124212769507,0.9385507506966956,0.9916201117317881,development,ETH/USDT
close_location,102.0,0.47066758916093304,0.29247602750349594,0.0,2.7932960893828162e-05,0.050963613937707056,0.2478571428571232,0.4345744982156601,0.7179516128362962,0.9373976486994595,0.9987801143323557,1.0,development,ETH/USDT
atr14,102.0,10.974348302577026,4.670465057833832,2.5774777329142955,2.761286354711501,4.160341793707104,7.323262726794877,10.59817557716217,13.838543181062882,19.713325627295134,20.71511079924282,21.358351562726458,development,ETH/USDT
natr14,102.0,0.006064481283442997,0.0024112125084388703,0.0014903095327402748,0.001618201619412596,0.002681084840171312,0.004315806605912876,0.005822524527877808,0.007577219469098483,0.010149191010428266,0.011703014068641306,0.012384377855323937,development,ETH/USDT
return_std_24,102.0,0.003951241033485762,0.0018894878586949014,0.0009607277615396459,0.0009938361142883176,0.001389447463320221,0.0026257265864749685,0.003491017625085949,0.004918978790156123,0.007276420589530792,0.009012241663456688,0.00956103284239009,development,ETH/USDT
return_std_168,102.0,0.0047287229459022865,0.0014450856357286833,0.0019072389583266744,0.0023373799758001222,0.0025296957126322802,0.0035347697065791456,0.004840961472270096,0.005751627041582408,0.007143115683362948,0.007359145557079131,0.008236643544049745,development,ETH/USDT
volatility_percentile_720,102.0,0.44742647058823537,0.3044186643587814,0.001388888888888889,0.001388888888888889,0.008472222222222225,0.18402777777777776,0.4361111111111111,0.7225694444444444,0.9163888888888888,0.9582638888888889,0.9638888888888889,development,ETH/USDT
rsi14,102.0,58.11112910373732,8.819294959391621,40.12596023683657,44.106392012372204,46.57616838047824,52.37750192419831,56.272708505916356,63.83214924167521,73.69253482875506,84.3944678696074,85.18735661438745,development,ETH/USDT
macd_ratio,102.0,0.0023821766316614863,0.002558393842725715,-0.002659533066461233,-0.001493279053633654,-0.0003606836271042303,0.00048056008480141995,0.0015039746357236265,0.004042847451557963,0.007783596959200486,0.008469738467480907,0.010666666640427942,development,ETH/USDT
macd_signal_ratio,102.0,0.0013204267981732653,0.0015345347938121444,-0.0017563176882746231,-0.0009077218481042346,-0.0005800119888019894,0.0002857931591680982,0.000822487134880778,0.0020420509358137925,0.0045430537310044965,0.005623583070938295,0.005853056884221358,development,ETH/USDT
macd_hist_ratio,102.0,0.0010617498334882208,0.0012811903009829514,-0.0009119460112621986,-0.0009001703951013355,-0.00039159105526292726,0.0001551002553286057,0.0006227037116943068,0.001786610511110973,0.0034494125861183754,0.004533953992609777,0.006066979021742609,development,ETH/USDT
relative_volume_24,102.0,1.3034301083452113,1.4768591572474306,0.18941434256732395,0.23088183218941533,0.3574129228734141,0.5416466898964065,0.8535266339875436,1.4882134488214707,3.5972720853544495,7.053790421519165,11.615573460146788,development,ETH/USDT
volume_zscore_24,102.0,0.2843229193416608,1.3682554775598426,-1.3004211657088456,-1.1463556501117733,-1.0837492310015167,-0.6736266091622551,-0.22725572865612625,0.7070471972099439,3.4276336452544722,4.40897026925438,4.630070589138164,development,ETH/USDT
volume_trend_24_168,102.0,-0.1214534353768472,0.3107938164358251,-0.6929622153451305,-0.64367708015134,-0.5697558154905811,-0.33610608966194644,-0.13111046595994752,0.035541525475999924,0.4081641726333926,0.5933673190019063,1.0970662813248317,development,ETH/USDT
regime_duration,102.0,17.852941176470587,18.767149020374443,1.0,1.0,1.0,3.0,11.5,26.75,51.799999999999955,61.97999999999999,117.0,development,ETH/USDT
regime_transition,102.0,0.11764705882352941,0.3237808098282634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,development,ETH/USDT
